"ID","Title","Alt Title","Special Mode Title","Locations","Comments"
"398","雲霧街の夜霧　〜イシュガルド下層：夜〜","","","Heavensward cutscenes","Variant of 278"
"399","メリー・ワンダラー・ワルツ","","","Palace of the Dead inter-floor theme",""
"400","永遠の欠片","","","Alisaie Theme","1.0 track"
"401","死亡報告","","","PotD pre-floor 100 cutscenes",""
"402","女神　〜女神ソフィア討滅戦〜","","","Containment Bay P1T6 (Sophia) phase 2",""
"403","ガントレット","","","Duel / Lost Canals of Uznair / Palace of the Dead",""
"404","究極幻想","","","Dun Scaith (Proto Ultima)","Quick start"
"405","地殻　〜峻厳渓谷 ゼルファトル〜","","","Xelphatol",""
"406","逆襲の咆哮","","","Heavensward boss theme 2",""
"407","ビブリオフォビア　〜稀書回収 グブラ幻想図書館〜","","","The Great Gubal Library (Hard)",""
"408","朝まで大騒ぎ","","","The Haunted Manor (All Saint's Wake)",""
"409","トイレに行けない夜","","","PotD 91-100 theme",""
"410","笛吹大魔王","","","PotD floor 100 boss theme",""
"411","指数崩壊　〜機工城アレキサンダー：天動編〜","","","Alexander - The Heart of the Creator (Cruise Chaser)",""
"412","メビウス　〜機工城アレキサンダー：天動編〜","","","Alexander - The Soul of the Creator (Alexander Prime) phase 1",""
"413","ライズ　〜機工城アレキサンダー：天動編〜","","","Alexander - The Soul of the Creator (Alexander Prime) phase 2","""Stasis Loop"" on another channel, used during time-stop mechanic"
"414","刻の外側　〜機工城アレキサンダー：天動編〜","","","Alexander - The Soul of the Creator (Alexander Prime) timegate theme","Muffled, slow Exponential Entropy"
"415","女神　〜女神ソフィア討滅戦〜","","","Containment Bay P1T6 (Extreme) (Sophia) mount / Sophic Lanner",""
"416","メビウス　〜機工城アレキサンダー：天動編〜","","","Alexander - The Soul of the Creator (Savage) mount / Arrhidaeus",""
"417","鬼神　〜鬼神ズルワーン討滅戦〜","","","Containment Bay Z1T9 (Zurvan) phase 3",""
"418","","","","","Likely test or filler audio"
"419","ペンウルティマニア　〜鬼神ズルワーン討滅戦〜","","","Containment Bay Z1T9 / Zurvan Phase 2",""
"420","アナザーブリック　〜巨大防壁 バエサルの長城〜","","","Baelsar's Wall",""
"421","砂塵","","","Sohm Al (Hard)",""
"422","約束の地　〜影の国ダン・スカー〜","","","Dun Scaith / Deathgaze Hollow",""
"423","影法師　〜影の国ダン・スカー〜","","","Dun Scaith",""
"424","鬼神　〜鬼神ズルワーン討滅戦〜","","","Containment Bay Z1T9 (Extreme) (Zurvan) mount / Demonic Lanner",""
"425","プレリュード　〜冒険の序章〜","","","Firebird mount","3 that plays on Firebird"
"426","Answers：Reprise","","","Ul'dah (The Rising)",""
"427","無","","","","Empty sound"
"428","紅蓮のプレリュード","","","Stormblood title screen",""
"429","Revolutions / 父の誇り　〜ヤンサ：昼〜 / 我らが支配圏","","","Stormblood credits","Revolutions excerpt into A Father's Pride into The Measure of Our Reach"
"430","調和","","","Stormblood sanctuaries",""
"431","巨峰の眼下にて","","","Stormblood sanctuaries",""
"432","揺り籠","","","Stormblood sanctuaries",""
"433","衝撃　〜ラールガーズリーチ：昼〜","","","Rhalgr's Reach",""
"434","余光　〜ラールガーズリーチ：夜〜","","","Rhalgr's Reach",""
"435","辺境の乱戦","","","Gyr Abania combat","All ""Looping in the Deepest Fringes"" are the same track"
"436","紅の夜明け　〜クガネ：昼〜","","","Kugane (day)",""
"437","紅の夜更け　〜クガネ：夜〜","","","Kugane (night)",""
"438","辺境の乱戦","","","Othard combat","All ""Looping in the Deepest Fringes"" are the same track"
"439","壁の向こう側　〜ギラバニア辺境地帯：昼〜","","","The Fringes (day)",""
"440","忘れられた希望　〜ギラバニア辺境地帯：夜〜","","","The Fringes (night)",""
"441","辺境の乱戦","","","The Fringes combat","All ""Looping in the Deepest Fringes"" are the same track"
"442","高みより　〜ギラバニア山岳地帯：昼〜","","","The Peaks (day)",""
"443","石の記憶　〜ギラバニア山岳地帯：夜〜","","","The Peaks (night)",""
"444","辺境の乱戦","","","The Peaks combat","All ""Looping in the Deepest Fringes"" are the same track"
"445","塩と苦難の歌　〜ギラバニア湖畔地帯：昼〜","","","The Lochs (day)",""
"446","古傷　〜ギラバニア湖畔地帯：夜〜","","","The Lochs (night)",""
"447","辺境の乱戦","","","The Lochs combat","All ""Looping in the Deepest Fringes"" are the same track"
"448","焔の海　〜紅玉海：昼〜","","","The Ruby Sea (day)",""
"449","宵の海　〜紅玉海：夜〜","","","The Ruby Sea (night)",""
"450","辺境の乱戦","","","Othard combat","All ""Looping in the Deepest Fringes"" are the same track"
"451","父の誇り　〜ヤンサ：昼〜","","","Yanxia (day)",""
"452","母の誇り　〜ヤンサ：夜〜","","","Yanxia (night)",""
"453","辺境の乱戦","","","Yanxia combat","All ""Looping in the Deepest Fringes"" are the same track"
"454","地平線に沈め　〜アジムステップ：昼〜","","","The Azim Steppe (day)",""
"455","地平線より昇れ　〜アジムステップ：夜〜","","","The Azim Steppe (night)",""
"456","辺境の乱戦","","","The Azim Steppe combat","All ""Looping in the Deepest Fringes"" are the same track"
"457","Revolutions","","","Stormblood cutscenes","No vocals intro excerpt"
"458","Revolutions","","","Stormblood cutscenes","No vocals directly post-intro excerpt"
"459","血嵐の勇士","","","Stormblood cutscenes",""
"460","我らが支配圏","","","Stormblood cutscenes",""
"461","壊神の拳が届く場所","","","Stormblood cutscenes","No vocals"
"462","","","","","Likely test or filler audio"
"463","Revolutions","","","Stormblood cutscenes","No vocals late-song excerpt"
"464","カイエンのテーマ　〜紅蓮〜","","","Stormblood cutscenes, The Doman Enclave","Arrangement of Cyan's Theme from Final Fantasy VI"
"465","東方の地","","","Stormblood cutscenes",""
"466","啓示","","","The Pool of Tribute (Susano) phase 1",""
"467","美の謀略　〜蛮神ラクシュミ討滅戦〜","","","Emanation (Lakshmi)",""
"468","龍の首","銀鱗と鋼鉄","","The Royal Menagerie (Shinryu) phase 1",""
"469","龍の尾　〜神龍討滅戦〜","","","The Royal Menagerie (Shinryu) phase 2",""
"470","鬨の声","","","Stormblood boss theme",""
"471","夜明けに向かって　〜漂流海域 セイレーン海〜","","","The Sirensong Sea",""
"472","開けられた玉手箱　〜海底宮殿 紫水宮〜","","","The Shisui of the Violet Tides",""
"473","英雄ならざる者　〜伝統試練 バルダム覇道〜","","","Bardam's Mettle",""
"474","月亮門　〜解放決戦 ドマ城〜","","","Doma Castle",""
"475","アリエヌス　〜巨砲要塞 カストルム・アバニア〜","","","Castrum Abania",""
"476","自由か死か　〜紅蓮決戦　アラミゴ〜","","","Ala Mhigo",""
"477","燃えよクァール　〜壊神修行 星導山寺院〜","","","The Temple of the Fist",""
"478","策謀　〜悪党成敗 クガネ城〜","","","Kugane Castle",""
"479","デルタスケープ　〜次元の狭間オメガ：デルタ編〜","","","The Interdimensional Rift",""
"480","バトル2　〜次元の狭間オメガ：デルタ編〜","","","Deltascape boss theme",""
"481","決戦　〜次元の狭間オメガ：デルタ編〜","","","Deltascape v4.0 (Exdeath)","Remix of The Decisive Battle from FFV"
"482","最後の闘い　〜次元の狭間オメガ：デルタ編〜","","","Deltascape v4.0 (Savage) (Neo-Exdeath)","Remix of The Last Battle from FFV"
"483","祈りの翼","","","Falcon porters",""
"484","祈りの翼","","","Stormblood cutscenes, Doman Enclave quests",""
"485","Revolutions","","","Stormblood cutscenes","Instrumental mid-song excerpt"
"486","紅蓮のプレリュード","","","Stormblood title screen","Quick start ver - starts 19 secs in"
"487","紅蓮のプレリュード / 壊神の拳が届く場所","","","Stormblood cutscenes","Slightly different 428 with more Prelude strings, transitions to ""The Measure of His Reach"""
"488","戦場の甲羅","","","The Ruby Sea (Hostile Kojin area)",""
"489","別れ","","","Stormblood cutscenes",""
"490","メテオ","","","Stormblood cutscenes (Zenos)",""
"491","祭りである　〜蛮神スサノオ討滅戦〜","","","The Pool of Tribute (Susano) phase 2",""
"492","終始　〜蛮神スサノオ討滅戦〜","","","The Pool of Tribute (Susano) phase 3",""
"493","祭りである　〜蛮神スサノオ討滅戦〜","","","The Pool of Tribue (Extreme) (Susano) mount / Reveling Kamuy",""
"494","美の謀略　〜蛮神ラクシュミ討滅戦〜","","","Emanation (Extreme) (Lakshmi) mount / Blissful Kamuy",""
"495","平和への道のり","","","Rhalgr's Reach","Plays while Rhalgr's is destroyed"
"496","うぃざーどりー","","","Cheap Dungeon","Order Yet Undeciphered (294) Chiptune"
"497","戦闘終了","","","Choco Racing Victory",""
"498","硬き者たち","","","Ruby Sea (Friendly Kojin area)",""
"499","贖いの果て　〜絶バハムート討滅戦〜","","","Unending Coil of Bahamut (Ultimate) phase 4","Golden Bahamut theme"
"500","ライバルウィングズ　〜アストラガロス機工戦〜,","","鳥たちの饗宴 ～ライバルウィングズ～","Rival Wings",""
"501","ローカス　〜機工城アレキサンダー：起動編〜","","","Rival Wings","Piloting Manipulator"
"502","指数崩壊　〜機工城アレキサンダー：天動編〜","","","Rival Wings","Piloting Cruise Chaser"
"503","メタル：ブルートジャスティスモード　〜機工城アレキサンダー：律動編〜","","","Rival Wings","Piloting Brute Justice"
"504","故郷より離れて　〜水没遺構 スカラ〜","","","The Drowned City Of Skalla",""
"505","龍の尾　〜神龍討滅戦〜","","","The Minstrel's Ballad: Shinryu's Domain mount / Legendary Kamuy",""
"506","Trisection","","","Royal City of Rabanastre",""
"507","橋上の戦い","","","Royal City of Rabanastre bosses",""
"508","Ultima's Transformation","","","Royal City of Rabanastre final boss (Argath Thadulfus)",""
"509","戦闘終了","","","Royal City of Rabanastre post-final boss",""
"510","データ画面","","","Return to Ivalice cutscenes",""
"511","プレイヤーメイク","","","Return to Ivalice cutscenes",""
"512","主人公のテーマ","","","Return to Ivalice cutscenes",""
"513","決戦　〜次元の狭間オメガ：シグマ編〜","","","Royal City of Rabanastre","From FF Tactics"
"514","Background Story","","","Return to Ivalice cutscenes",""
"515","敵兵襲撃","","","Return to Ivalice cutscenes",""
"516","星芒の扉","","","Seasonal event BGM areas","Starlight 2017"
"517","転生の炎　〜絶バハムート討滅戦〜","","","","The Coil Tightens (239) shortened"
"518","我ら国境警備隊","","","The Fringes (Friendly Ananta area)",""
"519","Iroha","","","Reisen Temple",""
"520","セイレーンの呼び声","","","Seasonal event BGM areas","Little Ladies' Day"
"521","天つ雷　〜白虎前哨戦〜","","","The Jade Stoa (Byakko) / Hell's Kier (Suzaku) / The Wreath of Snakes (Seiryu) phase 1",""
"522","轟　〜白虎征魂戦〜","","","The Jade Stoa (Byakko) phase 2",""
"523","天つ風　〜白虎征魂戦〜","","","The Jade Stoa (Byakko) phase 3",""
"524","乱風の囁き　〜禁断の地 エウレカ：アネモス編〜","","呪われたサレコウベ","Eureka Anemos, Eureka Pagos, Eureka Pyros",""
"525","ノー・クォーター","","","Eureka Notorious Monster theme",""
"526","鬼の棲む島　〜紅玉火山 獄之蓋〜","","","Hells' Lid",""
"527","アンブレーカブル (Duality)　〜博物戦艦 フラクタル・コンティニアム〜","","","The Fractal Continuum (Hard)",""
"528","魔列車　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v1.0 (Phantom Train) opening cutscene",""
"529","決戦","","","Sigmascape v1.0 (Phantom Train), Sigmascape v2.0 (Demon Chadarnook), Sigmascape v3.0 (Guardian)",""
"530","妖星乱舞 第1楽章　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v4.0 (Kefka) phase 1",""
"531","妖星乱舞 第2楽章　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v4.0 (Kefka) phase 2",""
"532","妖星乱舞 第3楽章　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v4.0 (Kefka) phase 3",""
"533","妖星乱舞 第4楽章　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v4.0 (Savage) (God Kefka)",""
"534","最後の闘い　〜次元の狭間オメガ：デルタ編〜","","","Deltascape v4.0 (Savage) (Neo-Exdeath) mount / Alte Roite",""
"535","妖星乱舞 第4楽章　〜次元の狭間オメガ：シグマ編〜","","","Sigmascape v4.0 (Savage) (God Kefka) mount / Air Force",""
"536","天つ風　〜白虎征魂戦〜","","","The Jade Stoa (Extreme) (Byakko) mount / Auspicious Kamuy",""
"537","星の囁き","","","Eureka","Same file as 56"
"538","Pa-Paya Demastered","","","Egg Hunter Riggy minigame","Easter 2018"
"539","自由なる風に吹かれて","","","Seasonal event BGM areas","Needs name. Allegedly Valentione's related"
"540","天晴大鯰音頭","","","The Azim Steppe (Namazu)",""
"541","月下美人　〜蛮神ツクヨミ前哨戦〜","","","Castrum Fluminis (Tsukuyomi) phase 1, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 1",""
"542","狂える月夜　〜蛮神ツクヨミ討滅戦〜","","","Castrum Fluminis (Tsukuyomi) phase 2, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 2",""
"543","月下彼岸花　〜蛮神ツクヨミ討滅戦〜","","","Castrum Fluminis (Tsukuyomi) phase 3, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 3",""
"544","堕天せし者(From Astral to Umbral)　〜蛮神ガルーダ討滅戦〜","","","The Weapon's Refrain (Ultimate) phase 1 (Garuda)",""
"545","原初の審判(From Astral to Umbral)　〜蛮神イフリート討滅戦〜","","","The Weapon's Refrain (Ultimate) phase 2 (Ifrit)",""
"546","過重圧殺(From Astral to Umbral)　〜蛮神タイタン討滅戦〜","","","The Weapon's Refrain (Ultimate) phase 3 (Titan), Eden's Gate: Sepulture (Savage) phase 3 (Titan)",""
"547","究極幻想 (Orchestral Version)","","","The Weapon's Refrain (Ultimate) phase 5",""
"548","森を牛耳る蛮顎の竜","","","The Great Hunt (Rathalos) Phase 1",""
"549","英雄の証　〜Monster Hunter : World version","","","The Great Hunt (Rathalos) Phase 2",""
"550","クエストクリア　〜英雄の証ver.","","","The Great Hunt (Rathalos) post-fight",""
"551","地風水　〜風水霊殿 ガンエン廟〜","","","The Swallow's Compass",""
"552","月下彼岸花　〜蛮神ツクヨミ討滅戦〜","","","The Minstrel's Ballad: Tsukuyomi's Pain mount / Lunar Kamuy mount",""
"553","ワールドマップ","","","Needs location","Directly from FFT"
"554","A Chapel","","","Needs location","Directly from FFT"
"555","頂上へ","","","The Ridorana Lighthouse pre 2nd-boss (Belias)","Directly from FFXII"
"556","ギルヴェガンの謎","","","The Ridorana Lighthouse post 2nd-boss (Belias)","Directly from FFXII"
"557","ボス戦","","","The Ridorana Lighthouse boss 1 (Famfrit), The Ridorana Lighthouse boss 2 (Belias)","Directly from FFXII"
"558","Apoplexy","","","The Ridorana Lighthouse boss 3 (Construct 7)","Directly from FFT"
"559","剣の一閃","","","Ridorana Lighthouse final boss (Yiazmat)","Directly from FFXII"
"560","戦闘終了","","","Ridorana Lighthouse final boss (Yiazmat) post-battle","Directly from FFXII"
"561","新大陸への礎　〜調査拠点アステラ：昼","","","Monster Hunter: World crossover cutscenes","Day theme, 1st half of MHW OST track"
"562","新大陸への礎　〜調査拠点アステラ：夜","","","Monster Hunter: World crossover cutscenes","Night theme, 2nd half of MHW OST track"
"563","Crown of the Ancient Tree","","","Monster Hunter: World crossover Rathalos intro cutscene",""
"564","英雄の証　〜Monster Hunter : World version","","","The Great Hunt (Extreme) (Rathalos) Mount",""
"565","策謀　〜悪党成敗 クガネ城〜","","","HoH mount / Juedi",""
"566","紅の夜明け　〜クガネ：昼〜","","","Shirogane (day)",""
"567","紅の夜更け　〜クガネ：夜〜","","","Shirogane (night)",""
"568","辺境の乱戦","","","Shirogane combat","All ""Looping in the Deepest Fringes"" are the same track"
"569","","","","The Weapon's Refrain (Ultimate) phase 4",""
"570","わっしょいわっしょい","","","Mikoshi mount",""
"571","作戦会議2　〜 緊迫","","","Monster Hunter: World crossover cutscenes",""
"572","QUEST FAILED","","","The Great Hunt (Rathalos) duty failed",""
"573","何処でもない何処か","","","Stormblood cutscenes (Alphascape)",""
"574","翼に夢を","","","Stormblood cutscenes (Alphascape)",""
"575","翼に夢を (2nd movement)","","","Stormblood cutscenes (Alphascape)",""
"576","エンディング","","","Stormblood cutscenes (Alphascape)",""
"577","クルザスの静寂","","","Cutscenes","1.0 Coerthas"
"578","焦燥の旅路","","","Stormblood cutscenes (Omega)","1.0 track"
"579","疑惑の廻廊","","","Cutscenes",""
"580","星芒の歌","","絶望の歌","Theatrhythm minigame",""
"581","千年の誰そ彼　〜朱雀征魂戦〜","","","Hells' Kier (Suzaku) phase 2","DDR"
"582","千年の暁　〜朱雀征魂戦〜","","","Hells' Kier (Suzaku) phase 3",""
"583","死の大地　〜永久焦土 ザ・バーン〜","","","The Burn",""
"584","泥中の蓮　〜草木汚染 聖モシャーヌ植物園〜","","","Saint Mocianne's Arboretum (Hard)",""
"585","戦闘シーン　〜次元の狭間オメガ：アルファ編〜","","","Alphascape v1.0 (Chaos)","FF1 battle theme remix"
"586","エスケープ　〜次元の狭間オメガ：アルファ編〜","","","Alphascape v3.0 (Omega)",""
"587","心を持たぬ者　〜次元の狭間オメガ：アルファ編〜","","","Alphascape v4.0 (Omega M/F)",""
"588","千年の暁　〜朱雀征魂戦〜","","","Suzaku mount",""
"589","空より現れし者　〜次元の狭間オメガ：アルファ編〜","","","Alphascape v4.0 (Savage) (Final Omega) mount / Omega",""
"590","不穏の淵","","","Solus zos Galvus theme",""
"591","空より現れし者　〜次元の狭間オメガ：アルファ編〜","","","Alphascape v4.0 (Savage) (Final Omega) phase 2",""
"592","The Chase/Crazy Motorcycle","","","SDS Fenrir mount","Directly from FF7"
"593","危険なる妙技","","","The Shifting of Altars of Uznair, Feast (Culling time)",""
"594","","","","",""
"595","","","","",""
"596","","","","",""
"597","","","","",""
"598","","","","",""
"599","","","","",""
"600","","","","",""
"601","","","","",""
"602","","","","",""
"603","","","","",""
"604","Broken Down","","","Final Fantasy XV crossover cutscenes & events",""
"605","Hammerhead","","","Final Fantasy XV crossover cutscenes & events","Guitar comes in at the end, not the beginning like in FFXV OST"
"606","月華の円舞曲 - Valse di Fantastica -","","","Final Fantasy XV crossover cutscenes & events",""
"607","Relax and Reflect","","","Final Fantasy XV crossover cutscenes & events",""
"608","Daemons","","","Final Fantasy XV crossover cutscenes & events",""
"609","Prayer de LUNA","","","Final Fantasy XV crossover cutscenes & events","Slightly different from the OST"
"610","Safe Haven","","","Final Fantasy XV crossover cutscenes & events",""
"611","闇に染む饗宴 - Veiled in Black -","","","Final Fantasy XV crossover cutscenes & events",""
"612","Horrors of the Night","","","Final Fantasy XV crossover cutscenes & events",""
"613","漆黒の黙示録 - APOCALYPSIS NOCTIS -","","","Final Fantasy XV crossover cutscenes & events",""
"614","A Quick Pit Stop","","","FFXV crossover mount / Regalia Type-G",""
"615","聖アジョラのテーマ","","","The Orbonne Monastery cutscene before final boss (Ultima)","Directly from FFT"
"616","毛皮骨肉商","","","Return to Ivalice quest cutscenes","Directly from FFT"
"617","Epilogue","","","Return to Ivalice quest cutscenes","Directly from FFT"
"618","Staff Credits","","","Return to Ivalice quest cutscenes","Directly from FFT"
"619","ブレイブストーリー","","","Return to Ivalice quest cutscenes","Directly from FFT"
"620","アルマのテーマ","","","Return to Ivalice quest cutscenes","Directly from FFT"
"621","謀略","","","Return to Ivalice quest cutscenes","Directly from FFT"
"622","Under the Stars","","","The Orbonne Monastery pre 2nd-boss (Agrias)","Directly from FFT"
"623","Bloody Excrement","","","The Orbonne Monastery post 2nd-boss (Agrias)","Directly from FFT"
"624","緊迫1","","","The Orbonne Monastery boss 1 (Mustadio)","Directly from FFT"
"625","Antipyretic","","","The Orbonne Monastery boss 2 (Agrias)","Directly from FFT"
"626","異形の者","","","The Orbonne Monastery boss 3 (The Thunder God)","""Grotesque Creature"" from Final Fantasy Vagrant Story"
"627","降臨","","","The Orbonne Monastery final boss (Ultima) phase 2","Directly from FFT"
"628","Ultima's Perfection","","","The Orbonne Monastery final boss (Ultima) phase 3","Directly from FFT"
"629","ラスト戦闘終了 / 礼拝堂","","","The Orbonne Monastery final boss (Ultima) victory theme","Opens with Final Struggle, transitions to Hall of Worship"
"630","天楔","","","The Masked Carnivale","1.0 track"
"631","インペリウム","","","The Masked Carnivale",""
"632","The Garden of Ru'Hmet","","","Baldesion Arsenal","Directly from FFXI"
"633","Onslaught","","","Baldesion Arsenal boss theme","Directly from FFXI"
"634","Turmoil","","","Baldesion Arsenal final boss (Proto Ozma) theme","Directly from FFXI"
"635","雲蒸龍変　〜青龍征魂戦〜","","","Seiryu mount",""
"636","紅蓮のプレリュード","","","Kyubi mount","No title logo slice, no flag cheering"
"637","地平線の彼方","","","Nezha Chariot / Red Hare / Magicked Carpet / Sunspun Cumulus mounts",""
"638","メリー・ワンダラー・ワルツ","","","Mystic Panda / Aquamarine+Citrine+Rubellite Carbuncle / Indigo Whale / Fatter Cat / Spriggan Stonecarrier / Kingly Peacock mounts",""
"639","黒煙の戦い　〜境界戦線 ギムリトダーク〜","","","The Ghimlyt Dark",""
"640","雲蒸龍変　〜青龍征魂戦〜","","","The Wreath of Snakes (Seiryu) phase 2",""
"641","東方遊戯","","","Doman Mahjong",""
"642","出撃！エアフォースパイロットVictory","","","Air Force One",""
"643","出撃！エアフォースパイロットFail","","","Air Force One",""
"644","戦闘シーン1.X","","","Air Force One",""
"645","Revolutions / 我らが支配圏","","","Stormblood end credits 2",""
"646","Tomorrow and Tomorrow","","","Shadowbringers title cutscene",""
"647","反復する明日","","","Shadowbringers cutscenes",""
"648","より良き明日","","","Shadowbringers cutscenes",""
"649","雨の中の涙","","","Shadowbringers cutscenes",""
"650","危険な言葉","","","Shadowbringers cutscenes / Overworld theme","Can be overworld theme based on quest progression"
"651","大逆","","","Shadowbringers cutscenes / Overworld theme / Quest battles","Can be overworld theme based on quest progression"
"652","驚嘆の真実","","","Shadowbringers cutscenes",""
"653","天上の窮地","","","Shadowbringers cutscenes",""
"654","Tomorrow and Tomorrow","","","Shadowbringers cutscenes","Reverb piano version"
"655","Tomorrow and Tomorrow","","","Shadowbringers cutscenes","Reverb vocals + piano version"
"656","Vamo' alla Flamenco　〜漆黒〜","","","Shadowbringers cutscenes (Dancer cutscenes)",""
"657","???","","","Level 80 Bard quest, ""A Harmony from the Heavens""","Needs name"
"658","ノアのリュート　〜漆黒〜","","","",""
"659","世界を照らす闇　〜クリスタリウム：昼〜","","","Crystarium (day)",""
"660","知恵は眠らず　〜クリスタリウム：夜〜","","","Crystarium (night)",""
"661","耽溺　〜ユールモア：昼〜","","","Eulmore (day)",""
"662","仮面舞踏会　〜ユールモア：夜〜","","","Eulmore (night)",""
"663","始まりの湖　〜レイクランド：昼〜","","","Lakeland (day)",""
"664","不変と変化　〜レイクランド：夜〜","","","Lakeland (night)",""
"665","分かたれし世界　〜コルシア島：昼〜","","","Kholusia (day)",""
"666","クイックウェイ　〜コルシア島：夜〜","","","Kholusia (night)",""
"667","琥珀の砂漠　〜アム・アレーン：昼〜","","","Amh Araeng (day)",""
"668","鮮血の砂漠　〜アム・アレーン：夜〜","","","Amh Araeng (night)",""
"669","残忍と自由　〜イル・メグ：昼〜","","","Il Mheg (day)",""
"670","妖精の輪　〜イル・メグ：夜〜","","","Il Mheg (night)",""
"671","シヴィライゼーションズ　〜ラケティカ大森林：昼〜","","","Rak'tika Greatwood (day)",""
"672","望みなき競争　〜ラケティカ大森林：夜〜","","","Rak'tika Greatwood (night)",""
"673","五尋の深み　〜テンペスト：浅部〜","","","The Tempest",""
"674","冥き水底　〜テンペスト：深部〜","","","The Tempest (Amaurot)",""
"675","生きる理由","","","Shadowbringers sanctuaries",""
"676","言い尽くせぬ悲哀","","","Shadowbringers sanctuaries",""
"677","対峙","","","Lakeland combat","All ""Rencounter"" are the same track"
"678","対峙","","","Kholusia combat","All ""Rencounter"" are the same track"
"679","対峙","","","Amh Araeng combat","All ""Rencounter"" are the same track"
"680","対峙","","","Il Mheg combat","All ""Rencounter"" are the same track"
"681","対峙","","","Rak'tika Greatwood combat","All ""Rencounter"" are the same track"
"682","","","","The Tempest combat","Empty track, but it seems XIV needs to have zone combat themes for everything"
"683","目覚めの御使い　〜ティターニア討滅戦〜","","","The Dancing Plague (Titania)",""
"684","インサニティー　〜イノセンス討滅戦〜","","","The Crown of the Immaculate (Innocence)",""
"685","影をもたらす者","","","The Dying Gasp (Hades) phase 1",""
"686","砕けぬ思い","","","The Dying Gasp (Hades) phase 2",""
"687","炎と剣によりて　〜殺戮郷村 ホルミンスター〜","","","The Holminister Switch",""
"688","虚構　〜水妖幻園 ドォーヌ・メグ〜,","","","Dohn Mheg",""
"689","紐解かれしもの　〜古跡探索 キタンナ神影洞〜","","","Qitana Ravel",""
"690","深き底　〜爽涼離宮 マリカの大井戸〜","","","Malikah's Well",""
"691","獣の腹　〜偽造天界 グルグ火山〜","","","Mt. Gulg",""
"692","死の刻　〜終末幻想 アーモロート〜","","","Amaurot",""
"693","影なき影　〜創造機関 アナイダアカデミア〜","","","Akadaemia Anyder",""
"694","ロングフォール　〜異界遺構 シルクス・ツイニング〜","","","The Twinning",""
"695","貪欲","","","Shadowbringers boss theme",""
"696","Blue Fields　〜漆黒〜","","","The Empty (unfinished)",""
"697","Force Your Way　〜漆黒〜","","","Eden's Gate: Resurrection (Eden Prime), Descent (Voidwalker), Eden's Verse: Iconoclasm (Idol of Darkness)",""
"698","ランドスライド　〜希望の園エデン：覚醒編〜","","","Eden's Gate: Sepulture (Titan)",""
"699","運命の旅","","","Amaro porter",""
"700","目覚めの御使い　〜ティターニア討滅戦〜","","","The Dancing Plague (Extreme) (Titania) mount / Fae Gwiber","(Mount)"
"701","インサニティー　〜イノセンス討滅戦〜","","","The Crown of the Immaculate (Extreme) (Innocence) mount / Innocent Gwiber","(Mount)"
"702","ランドスライド　〜希望の園エデン：覚醒編〜","","","Eden's Gate: Sepulture (Savage) (Titan) mount / Skyslipper","(Mount)"
"703","マンダヴィル・ゴールドソーサー","","","Sabotender Emperador mount",""
"704","四重の見聞を経て","","","Shadowbringers title screen",""
"705","影をもたらす者 / Tomorrow and Tomorrow / 仮面舞踏会 / 大逆 / 知恵は眠らず / 世界を照らす闇","","","Shadowbringers credits","Transitions directly into each song"
"706","ローカス (The Primals)","","","The Twinning, The Epic of Alexander (Ultimate) phase 1",""
"707","Tomorrow and Tomorrow","","","Shadowbringers cutscenes","Part 1 of full track"
"708","Tomorrow and Tomorrow","","","Shadowbringers cutscenes","Part 2 of full track"
"709","Tomorrow and Tomorrow","","","Shadowbringers cutscenes","No vocals"
"710","破砕　〜クリスタルタワー：シルクスの塔〜","","","","2nd channel of 218, Syrcus Tower combat music"
"711","享楽の痛み","","","Eulmore","A 2nd Eulmore day theme"
"712","それなりの暮らし","","","Shadowbringers sanctuaries",""
"713","無","","","","Empty sound"
"714","闇の口付","","","","2nd channel of 17, ARR Hard dungeon combat music"
"715","運命の旅","","","Amaro mount",""
"716","合わないピース","","","Kholusia","Alt theme (Everlasting light?)"
"717","輝ける蒼　〜希望の園エデン：覚醒編〜","","","Eden's Gate: Inundation (Leviathan)",""
"718","スターライト de チョコボ","","スターライト de チョコボ？","Theatrhythm minigame",""
"719","リェー・メグの門","","","Lyhe Mheg",""
"720","名も無き者たちの情熱　〜蒼天街復興〜","","","The Firmament",""
"721","セイレーンの呼び声","","","Eulmore (The Beehive)",""
"722","戦士の守勢　〜PvPフロントライン〜","","戦士の攻勢 ～PvPフロントライン～","Onsal Hakair",""
"723","メタル：ブルートジャスティスモード (Journeys)　〜機工城アレキサンダー：律動編〜 (The Primals)","","","The Epic of Alexander (Ultimate) phase 2",""
"724","無限停止　〜機工城アレキサンダー：天動編〜","","","The Epic of Alexander (Ultimate) phase 2 to 3","A12 timestop"
"725","ライズ　〜機工城アレキサンダー：天動編〜 (The Primals)","","","The Epic of Alexander (Ultimate) phase 3",""
